"","Length","Left","Right","Bottom","Top","Diagonal","Y"
"1",214.8,131,131.1,9,9.7,141,0
"2",214.6,129.7,129.7,8.1,9.5,141.7,0
"3",214.8,129.7,129.7,8.7,9.6,142.2,0
"4",214.8,129.7,129.6,7.5,10.4,142,0
"5",215,129.6,129.7,10.4,7.7,141.8,0
"6",215.7,130.8,130.5,9,10.1,141.4,0
"7",215.5,129.5,129.7,7.9,9.6,141.6,0
"8",214.5,129.6,129.2,7.2,10.7,141.7,0
"9",214.9,129.4,129.7,8.2,11,141.9,0
"10",215.2,130.4,130.3,9.2,10,140.7,0
"11",215.3,130.4,130.3,7.9,11.7,141.8,0
"12",215.1,129.5,129.6,7.7,10.5,142.2,0
"13",215.2,130.8,129.6,7.9,10.8,141.4,0
"14",214.7,129.7,129.7,7.7,10.9,141.7,0
"15",215.1,129.9,129.7,7.7,10.8,141.8,0
"16",214.5,129.8,129.8,9.3,8.5,141.6,0
"17",214.6,129.9,130.1,8.2,9.8,141.7,0
"18",215,129.9,129.7,9,9,141.9,0
"19",215.2,129.6,129.6,7.4,11.5,141.5,0
"20",214.7,130.2,129.9,8.6,10,141.9,0
"21",215,129.9,129.3,8.4,10,141.4,0
"22",215.6,130.5,130,8.1,10.3,141.6,0
"23",215.3,130.6,130,8.4,10.8,141.5,0
"24",215.7,130.2,130,8.7,10,141.6,0
"25",215.1,129.7,129.9,7.4,10.8,141.1,0
"26",215.3,130.4,130.4,8,11,142.3,0
"27",215.5,130.2,130.1,8.9,9.8,142.4,0
"28",215.1,130.3,130.3,9.8,9.5,141.9,0
"29",215.1,130,130,7.4,10.5,141.8,0
"30",214.8,129.7,129.3,8.3,9,142,0
"31",215.2,130.1,129.8,7.9,10.7,141.8,0
"32",214.8,129.7,129.7,8.6,9.1,142.3,0
"33",215,130,129.6,7.7,10.5,140.7,0
"34",215.6,130.4,130.1,8.4,10.3,141,0
"35",215.9,130.4,130,8.9,10.6,141.4,0
"36",214.6,130.2,130.2,9.4,9.7,141.8,0
"37",215.5,130.3,130,8.4,9.7,141.8,0
"38",215.3,129.9,129.4,7.9,10,142,0
"39",215.3,130.3,130.1,8.5,9.3,142.1,0
